"DateTime","Positiivne","Negatiivne","Positiivsete testide %"
"2020-02-26 00:00:00",1,12,7.69
"2020-02-27 00:00:00",0,10,0
"2020-02-28 00:00:00",0,13,0
"2020-02-29 00:00:00",0,8,0
"2020-03-01 00:00:00",0,18,0
"2020-03-02 00:00:00",1,21,4.55
"2020-03-03 00:00:00",0,29,0
"2020-03-04 00:00:00",1,35,2.78
"2020-03-05 00:00:00",7,28,20
"2020-03-06 00:00:00",0,72,0
"2020-03-07 00:00:00",0,29,0
"2020-03-08 00:00:00",0,20,0
"2020-03-09 00:00:00",3,62,4.62
"2020-03-10 00:00:00",2,59,3.28
"2020-03-11 00:00:00",3,71,4.05
"2020-03-12 00:00:00",40,97,29.2
"2020-03-13 00:00:00",44,163,21.26
"2020-03-14 00:00:00",23,143,13.86
"2020-03-15 00:00:00",75,428,14.91
"2020-03-16 00:00:00",25,301,7.67
"2020-03-17 00:00:00",22,175,11.17
"2020-03-18 00:00:00",28,514,5.17
"2020-03-19 00:00:00",28,351,7.39
"2020-03-20 00:00:00",13,402,3.13
"2020-03-21 00:00:00",41,608,6.32
"2020-03-22 00:00:00",13,152,7.88
"2020-03-23 00:00:00",24,500,4.58
"2020-03-24 00:00:00",75,1363,5.22
"2020-03-25 00:00:00",55,1008,5.17
"2020-03-26 00:00:00",37,1125,3.18
"2020-03-27 00:00:00",64,1219,4.99
"2020-03-28 00:00:00",40,1023,3.76
"2020-03-29 00:00:00",32,838,3.68
"2020-03-30 00:00:00",31,1158,2.61
"2020-03-31 00:00:00",57,1968,2.81
"2020-04-01 00:00:00",78,1332,5.53
"2020-04-02 00:00:00",93,2497,3.59
"2020-04-03 00:00:00",74,1549,4.56
"2020-04-04 00:00:00",63,1354,4.45
"2020-04-05 00:00:00",11,905,1.2
"2020-04-06 00:00:00",42,1736,2.36
"2020-04-07 00:00:00",36,1319,2.66
"2020-04-08 00:00:00",23,1838,1.24
"2020-04-09 00:00:00",51,1543,3.2
"2020-04-10 00:00:00",46,1622,2.76
"2020-04-11 00:00:00",5,936,0.53
"2020-04-12 00:00:00",19,431,4.22
"2020-04-13 00:00:00",45,1654,2.65
"2020-04-14 00:00:00",27,1827,1.46
"2020-04-15 00:00:00",34,2235,1.5
"2020-04-16 00:00:00",25,1671,1.47
"2020-04-17 00:00:00",53,2130,2.43
"2020-04-18 00:00:00",16,767,2.04
"2020-04-19 00:00:00",7,667,1.04
"2020-04-20 00:00:00",17,1470,1.14
"2020-04-21 00:00:00",7,1661,0.42
"2020-04-22 00:00:00",33,1700,1.9
"2020-04-23 00:00:00",15,1227,1.21
"2020-04-24 00:00:00",29,1210,2.34
"2020-04-25 00:00:00",9,668,1.33
"2020-04-26 00:00:00",4,556,0.71
"2020-04-27 00:00:00",10,1276,0.78
"2020-04-28 00:00:00",9,1928,0.46
"2020-04-29 00:00:00",23,1805,1.26
"2020-04-30 00:00:00",5,1333,0.37
"2020-05-01 00:00:00",5,763,0.65
"2020-05-02 00:00:00",1,843,0.12
"2020-05-03 00:00:00",3,668,0.45
"2020-05-04 00:00:00",8,1873,0.43
"2020-05-05 00:00:00",2,1754,0.11
"2020-05-06 00:00:00",7,1825,0.38
"2020-05-07 00:00:00",5,1481,0.34
"2020-05-08 00:00:00",8,1199,0.66
"2020-05-09 00:00:00",6,754,0.79
"2020-05-10 00:00:00",2,717,0.28
"2020-05-11 00:00:00",5,1227,0.41
"2020-05-12 00:00:00",5,1350,0.37
"2020-05-13 00:00:00",7,1347,0.52
"2020-05-14 00:00:00",8,1149,0.69
"2020-05-15 00:00:00",4,922,0.43
"2020-05-16 00:00:00",4,810,0.49
"2020-05-17 00:00:00",9,820,1.09
"2020-05-18 00:00:00",8,1538,0.52
"2020-05-19 00:00:00",3,1238,0.24
"2020-05-20 00:00:00",6,1555,0.38
"2020-05-21 00:00:00",7,1048,0.66
"2020-05-22 00:00:00",14,831,1.66
"2020-05-23 00:00:00",2,630,0.32
"2020-05-24 00:00:00",1,982,0.1
"2020-05-25 00:00:00",10,1796,0.55
"2020-05-26 00:00:00",6,1835,0.33
"2020-05-27 00:00:00",11,1366,0.8
"2020-05-28 00:00:00",8,1215,0.65
"2020-05-29 00:00:00",6,1214,0.49
"2020-05-30 00:00:00",4,827,0.48
